course_id,name,department,units
48-095,Spatial Concepts for Non-Majors,Architecture,10
48-025,First Year Seminar: Architecture Edition I,Architecture,3
48-050,Study Abroad,Architecture,0
48-100,Architecture Design Studio: Foundation I,Architecture,15
48-116,Building Physics,Architecture,9
48-215,Materials & Assembly,Architecture,9
48-233,IDeATe: Bioform,Architecture,9
48-200,Architecture Design Studio: Elaboration I,Architecture,18
48-250,Case Studies in Architecture and Cities,Architecture,9
48-300,Architecture Design Studio: Integration I,Architecture,18
48-338,"European Cities in the XIX Century: Planning, Architecture, Preservation",Architecture,9
48-315,Environment I: Climate & Energy in Architecture,Architecture,9
48-339,IDeATe: Making Things Interactive,Architecture,12
48-356,Color Drawing,Architecture,9
48-358,Down to Earth: Designing Modern Earthen Buildings,Architecture,9
48-400,Advanced Synthesis Options Studio I,Architecture,18
48-432,Environment II: Design Integration of Active Building Systems,Architecture,9
48-434,Mesoamerican and Spanish Colonial Architecture of Mexico and Guatemala,Architecture,6
48-455,Advanced Structures,Architecture,9
48-470,Exploring Pattern Through Lamination,Architecture,9
48-500,Advanced Synthesis Options Studio III,Architecture,18
48-518,ASO Thesis Seminar I,Architecture,9
48-525,Thesis Seminar,Architecture,9
48-531,Fabricating Customization: Prototype,Architecture,9
48-545,Design Fabrication,Architecture,9
48-555,Introduction to Architectural Robotics,Architecture,6
48-558,Reality Computing,Architecture,12
48-568,"Advanced CAD, BIM, and 3D Visualization",Architecture,9
48-600,ASO Studio General,Architecture,18
48-630,M.Arch Studio: Integration I,Architecture,18
48-634,Architectural Theory,Architecture,9
48-635,Environment I: Climate & Energy,Architecture,9
48-647,Materials & Assembly,Architecture,9
48-689,Digital Skills Workshop,Architecture,3
48-655,Environment II: Design Integration of Active Building Systems,Architecture,9
48-650,Advanced Synthesis Options Studio: M.Arch I,Architecture,18
48-707,MUD Graduate Seminar,Architecture,3
48-705,Urban Design Studio I,Architecture,18
48-714,Data Analytics for Urban Design,Architecture,9
48-716,MSCD Pre-thesis II,Architecture,6
48-718,Urban Design Studio III,Architecture,18
48-726,"Passive House: Design, Engineering and Simulation",Architecture,9
48-727,Inquiry into Computational Design,Architecture,9
48-731,Sustainable Design Synthesis Prep,Architecture,12
48-733,Environmental Performance Simulation,Architecture,9
48-734,Reactive Spaces and Media Architecture,Architecture,9
48-739,Making Things Interactive (Graduate),Architecture,12
48-743,Introduction to Ecological Design and Thinking,Architecture,6
48-745,Design Fabrication,Architecture,9
48-746,Shape Machine,Architecture,9
48-749,Special Topics in Computational Design: Experimental Archaeology of CAD,Architecture,6
48-750,Histories of Urban Design,Architecture,9
48-753,Intro to Urban Design Media,Architecture,6
48-755,Introduction to Architectural Robotics,Architecture,6
48-763,Protean Systems: Sustainable Solutions for Uncertain Futures,Architecture,9
48-767,Transdisciplinary Thinking,Architecture,6
48-765,AECM Synthesis Project,Architecture,12
48-768,"Indoor Environmental Quality (IEQ); Energy, Health and Productivity",Architecture,12
48-772,MAAD Advanced Synthesis Options Studio I,Architecture,18
48-783,Generative Modeling (GRAD),Architecture,9
48-774,MAAD Pro-seminar I,Architecture,3
48-785,MAAD Research by Design Project,Architecture,18
48-795,"LEED, Green Design and Building Rating in Global Context",Architecture,6
48-799,Preparing for Teaching and Academic Careers,Architecture,0
48-805,Directed Study I,Architecture,6
60-050,Study Abroad,Art,0
60-101,Concept Studio: The Self and the Human Being,Art,10
60-131,Digital Fabrication,Art,5
60-105,Critical Theory in Art I,Art,9
60-132,Digital Fabrication,Art,5
60-141,Black and White Photography I,Art,10
60-142,Digital Photography I,Art,10
60-145,Photojournalism,Art,10
60-150,2D Media Studio: Drawing,Art,10
60-157,Drawing for Non-Majors,Art,10
60-202,Concept Studio: Systems and Processes,Art,10
60-201,Concept Studio: Space and Time,Art,10
60-200,Sophomore Review,Art,0
60-205,Critical Theory in Art III,Art,9
60-212,Electronic Media Studio: Interactivity and Computation for Creative Practice,Art,12
60-208,Alternative Photography: Contemporary Antiquarian Printmaking,Art,5
60-210,Electronic Media Studio: Introduction to Interactivity,Art,10
60-214,Photography and the Narrative of Place,Art,5
60-218,IDeATe Portal: Real-Time Animation,Art,10
